Miejscowość,Parafia,Rodzaj Księgi,Rok od,Rok do,powiat,source_type
Nowe Świętowo,Urząd Stanu Cywilnego,Chrzty,1887,1912,opolski,Urząd Stanu Cywilnego
Nowe Świętowo,Urząd Stanu Cywilnego,Śluby,1885,1912,opolski,Urząd Stanu Cywilnego
Nowe Świętowo,Urząd Stanu Cywilnego,Zgony,1885,1912,opolski,Urząd Stanu Cywilnego
Babiak,Urząd Stanu Cywilnego,Chrzty,1918,1918,kolski,Urząd Stanu Cywilnego
Babiak,Urząd Stanu Cywilnego,Śluby,1918,1918,kolski,Urząd Stanu Cywilnego
Babiak,Urząd Stanu Cywilnego,Zgony,1918,1918,kolski,Urząd Stanu Cywilnego
Babimost,Parafia katolicka,Chrzty,1854,1874,zielonogórski,Parafia katolicka
Babimost,Parafia katolicka,Śluby,1853,1874,zielonogórski,Parafia katolicka
Babimost,Urząd Stanu Cywilnego,Zgony,1915,1915,zielonogórski,Urząd Stanu Cywilnego
Baborów,Urząd Stanu Cywilnego,Śluby,1874,1876,głubczycki,Urząd Stanu Cywilnego
Bagrowo,Parafia katolicka,Chrzty,1818,1874,średzki,Parafia katolicka
Bagrowo,Parafia katolicka,Śluby,1818,1820,średzki,Parafia katolicka
Bagrowo,Parafia katolicka,Śluby,1822,1823,średzki,Parafia katolicka
Bagrowo,Parafia katolicka,Śluby,1825,1829,średzki,Parafia katolicka
Bagrowo,Parafia katolicka,Śluby,1831,1833,średzki,Parafia katolicka
Bagrowo,Parafia katolicka,Śluby,1835,1835,średzki,Parafia katolicka
Bagrowo,Parafia katolicka,Śluby,1837,1838,średzki,Parafia katolicka
Bagrowo,Parafia katolicka,Śluby,1841,1846,średzki,Parafia katolicka
Bagrowo,Parafia katolicka,Śluby,1849,1850,średzki,Parafia katolicka
Bagrowo,Parafia katolicka,Śluby,1852,1855,średzki,Parafia katolicka
Bagrowo,Parafia katolicka,Śluby,1857,1868,średzki,Parafia katolicka
Bagrowo,Parafia katolicka,Śluby,1870,1873,średzki,Parafia katolicka
Bagrowo,Parafia katolicka,Zgony,1818,1840,średzki,Parafia katolicka
Bagrowo,Parafia katolicka,Zgony,1842,1859,średzki,Parafia katolicka
Bagrowo,Parafia katolicka,Zgony,1861,1868,średzki,Parafia katolicka
Bagrowo,Parafia katolicka,Zgony,1870,1874,średzki,Parafia katolicka
Bagrowo,Parafia katolicka,Inne,1818,1819,średzki,Parafia katolicka
Bałdowice,Urząd Stanu Cywilnego,Chrzty,1874,1902,ostrzeszowski,Urząd Stanu Cywilnego
Bałdowice,Urząd Stanu Cywilnego,Chrzty,1909,1912,ostrzeszowski,Urząd Stanu Cywilnego
Bałdowice,Urząd Stanu Cywilnego,Śluby,1879,1880,ostrzeszowski,Urząd Stanu Cywilnego
Bałdowice,Urząd Stanu Cywilnego,Śluby,1900,1912,ostrzeszowski,Urząd Stanu Cywilnego
Bałdowice,Urząd Stanu Cywilnego,Zgony,1874,1922,ostrzeszowski,Urząd Stanu Cywilnego
Baranów,Parafia katolicka,Chrzty,1906,1906,kępiński,Parafia katolicka
Baranów,Urząd Stanu Cywilnego,Chrzty,1874,1907,kępiński,Urząd Stanu Cywilnego
Baranów,Urząd Stanu Cywilnego,Chrzty,1909,1909,kępiński,Urząd Stanu Cywilnego
Baranów,Urząd Stanu Cywilnego,Chrzty,1911,1919,kępiński,Urząd Stanu Cywilnego
Baranów,Urząd Stanu Cywilnego,Śluby,1875,1907,kępiński,Urząd Stanu Cywilnego
Baranów,Urząd Stanu Cywilnego,Śluby,1909,1909,kępiński,Urząd Stanu Cywilnego
Baranów,Urząd Stanu Cywilnego,Śluby,1911,1916,kępiński,Urząd Stanu Cywilnego
