Miejscowość,Parafia,Rodzaj Księgi,Rok od,Rok do
BANICA,BANICA,Chrzty,1983,2011
BANICA,BANICA,Śluby,1854,2011
BANICA,BANICA,Zgony,1948,2011
BARCICE,BARCICE,Chrzty,1813,2014
BARCICE,BARCICE,Śluby,1813,2014
BARCICE,BARCICE,Zgony,1813,2014
BEREST,BEREST,Chrzty,1947,2001
BEREST,BEREST,Śluby,1947,2001
BEREST,BEREST,Zgony,1947,1990
BIADOLINY,BIADOLINY,Chrzty,1946,2014
BIADOLINY,BIADOLINY,Śluby,1946,2014
BIADOLINY,BIADOLINY,Zgony,1946,2014
BIAŁA NIŻNA,BIAŁA NIŻNA,Chrzty,1946,2014
BIAŁA NIŻNA,BIAŁA NIŻNA,Śluby,1969,2014
BIAŁA NIŻNA,BIAŁA NIŻNA,Zgony,1970,2014
BIELCZA,BIELCZA,Chrzty,1946,2009
BIELCZA,BIELCZA,Śluby,1946,2009
BIELCZA,BIELCZA,Zgony,1946,2009
BIESIADKI,BIESIADKI,Chrzty,1784,2014
BIESIADKI,BIESIADKI,Śluby,1784,2014
BIESIADKI,BIESIADKI,Zgony,1784,2014
BINCZAROWA,BINCZAROWA,Chrzty,1946,2014
BINCZAROWA,BINCZAROWA,Śluby,1961,2014
BINCZAROWA,BINCZAROWA,Zgony,1946,2014
BISKUPICE RADŁOWSKIE,BISKUPICE RADŁOWSKIE,Chrzty,1981,2014
BISKUPICE RADŁOWSKIE,BISKUPICE RADŁOWSKIE,Śluby,1981,2014
BISKUPICE RADŁOWSKIE,BISKUPICE RADŁOWSKIE,Zgony,1981,2014
BOBOWA,BOBOWA,Chrzty,1786,2011
BOBOWA,BOBOWA,Śluby,1753,2011
BOBOWA,BOBOWA,Zgony,1786,2011
"BOCHNIA, św. Jana Nepomucena","BOCHNIA, św. Jana Nepomucena",Chrzty,1987,2009
"BOCHNIA, św. Jana Nepomucena","BOCHNIA, św. Jana Nepomucena",Śluby,1987,2009
"BOCHNIA, św. Jana Nepomucena","BOCHNIA, św. Jana Nepomucena",Zgony,1987,2009
"BOCHNIA, św. Mikołaja","BOCHNIA, św. Mikołaja",Chrzty,1819,2014
"BOCHNIA, św. Mikołaja","BOCHNIA, św. Mikołaja",Śluby,1819,1997
"BOCHNIA, św. Mikołaja","BOCHNIA, św. Mikołaja",Zgony,1819,2011
"BOCHNIA, św. Pawła","BOCHNIA, św. Pawła",Chrzty,1984,2014
"BOCHNIA, św. Pawła","BOCHNIA, św. Pawła",Zgony,1984,2011
BOGUMIŁOWICE,BOGUMIŁOWICE,Chrzty,1981,2014
BOGUMIŁOWICE,BOGUMIŁOWICE,Śluby,1981,2014
BOGUMIŁOWICE,BOGUMIŁOWICE,Zgony,1981,2014
BOGUSZA,BOGUSZA,Chrzty,2011,2014
BOGUSZA,BOGUSZA,Śluby,2011,2014
BOGUSZA,BOGUSZA,Zgony,2011,2014
BOLESŁAW,BOLESŁAW,Chrzty,1800,2014
BOLESŁAW,BOLESŁAW,Śluby,1800,1959
BOLESŁAW,BOLESŁAW,Zgony,1800,2002
BOREK,BOREK,Chrzty,1982,2012
BOREK,BOREK,Śluby,1982,2012
BOREK,BOREK,Zgony,1982,2012
BORKI,BORKI,Chrzty,1976,2014
BORKI,BORKI,Zgony,1981,2014
BOROWA k. DĘBICY,BOROWA k. DĘBICY,Chrzty,1944,1987
BOROWA k. DĘBICY,BOROWA k. DĘBICY,Śluby,1944,1987
BOROWA k. DĘBICY,BOROWA k. DĘBICY,Zgony,1944,1987
BOROWA k. MIELCA,BOROWA k. MIELCA,Chrzty,1637,2014
BOROWA k. MIELCA,BOROWA k. MIELCA,Śluby,1637,2014
BOROWA k. MIELCA,BOROWA k. MIELCA,Zgony,1721,2014
BORUSOWA,BORUSOWA,Chrzty,1957,2014
BORUSOWA,BORUSOWA,Śluby,1957,2014
BORUSOWA,BORUSOWA,Zgony,1957,2014
BORZĘCIN,BORZĘCIN,Chrzty,1802,2009
BORZĘCIN,BORZĘCIN,Śluby,1785,1880
BORZĘCIN,BORZĘCIN,Zgony,1785,1881
BORZĘCIN DOLNY,BORZĘCIN DOLNY,Chrzty,1936,2014
BORZĘCIN DOLNY,BORZĘCIN DOLNY,Śluby,1988,2014
BORZĘCIN DOLNY,BORZĘCIN DOLNY,Zgony,2004,2014
BREŃ,BREŃ,Chrzty,2011,2014
BREŃ,BREŃ,Śluby,2011,2014
BREŃ,BREŃ,Zgony,2011,2014
BRUNARY,BRUNARY,Chrzty,1952,2014
BRUNARY,BRUNARY,Śluby,1952,2014
BRUŚNIK,BRUŚNIK,Chrzty,1801,2010
BRUŚNIK,BRUŚNIK,Śluby,1801,2010
BRUŚNIK,BRUŚNIK,Zgony,1801,2010
BRZESKO – SŁOTWINA,BRZESKO – SŁOTWINA,Chrzty,1946,2001
BRZESKO – SŁOTWINA,BRZESKO – SŁOTWINA,Śluby,1946,2013
BRZESKO – SŁOTWINA,BRZESKO – SŁOTWINA,Zgony,1946,2011
"BRZESKO, Miłosierdzia Bożego","BRZESKO, Miłosierdzia Bożego",Chrzty,1993,2014
"BRZESKO, Miłosierdzia Bożego","BRZESKO, Miłosierdzia Bożego",Śluby,1993,2014
"BRZESKO, Miłosierdzia Bożego","BRZESKO, Miłosierdzia Bożego",Zgony,1993,2014
"BRZESKO, św. Jakuba","BRZESKO, św. Jakuba",Chrzty,1790,2010
"BRZESKO, św. Jakuba","BRZESKO, św. Jakuba",Śluby,1790,2011
"BRZESKO, św. Jakuba","BRZESKO, św. Jakuba",Zgony,1790,2010
BRZEZNA,BRZEZNA,Chrzty,1958,2010
BRZEZNA,BRZEZNA,Śluby,1958,2010
BRZEZNA,BRZEZNA,Zgony,1958,2010
BRZEŹNICA k. BOCHNI,BRZEŹNICA k. BOCHNI,Chrzty,1807,2014
BRZEŹNICA k. BOCHNI,BRZEŹNICA k. BOCHNI,Śluby,1807,2014
BRZEŹNICA k. BOCHNI,BRZEŹNICA k. BOCHNI,Zgony,1807,2014
BRZEŹNICA k. DĘBICY,BRZEŹNICA k. DĘBICY,Chrzty,1821,2010
BRZEŹNICA k. DĘBICY,BRZEŹNICA k. DĘBICY,Śluby,1821,2010
BRZEŹNICA k. DĘBICY,BRZEŹNICA k. DĘBICY,Zgony,1821,2010
BRZOZOWA,BRZOZOWA,Chrzty,1798,2014
BRZOZOWA,BRZOZOWA,Śluby,1798,2014
BRZOZOWA,BRZOZOWA,Zgony,1798,2014
BRZOZÓWKA,BRZOZÓWKA,Chrzty,1995,2014
BRZOZÓWKA,BRZOZÓWKA,Śluby,1995,2014
BRZOZÓWKA,BRZOZÓWKA,Zgony,1994,2014
BUCHCICE,BUCHCICE,Chrzty,1983,2014
BUCHCICE,BUCHCICE,Śluby,1983,2014
BUCHCICE,BUCHCICE,Zgony,1983,2014
BUCZE,BUCZE,Chrzty,1890,2013
BUCZE,BUCZE,Śluby,1890,2013
BUCZE,BUCZE,Zgony,1890,2013
BUKOWIEC,BUKOWIEC,Chrzty,1950,2013
BUKOWIEC,BUKOWIEC,Śluby,1950,2013
BUKOWIEC,BUKOWIEC,Zgony,1950,2013
BURZYN,BURZYN,Chrzty,1975,1975
BURZYN,BURZYN,Śluby,1975,1975
BURZYN,BURZYN,Zgony,1975,1975
BYSTRA,BYSTRA,Chrzty,1870,2014
BYSTRA,BYSTRA,Śluby,1901,2014
BYSTRA,BYSTRA,Zgony,1870,2014
BŁONIE,BŁONIE,Chrzty,1971,2014
BŁONIE,BŁONIE,Śluby,1961,2014
BŁONIE,BŁONIE,Zgony,1946,2014
CEREKIEW,CEREKIEW,Chrzty,1792,2014
CEREKIEW,CEREKIEW,Śluby,1792,2014
CEREKIEW,CEREKIEW,Zgony,1792,2014
CHEŁM,CHEŁM,Chrzty,1795,2010
CHEŁM,CHEŁM,Śluby,1795,2010
CHEŁM,CHEŁM,Zgony,1795,2010
CHOJNIK,CHOJNIK,Chrzty,1993,2014
CHOJNIK,CHOJNIK,Śluby,1993,2014
CHOJNIK,CHOJNIK,Zgony,1993,2014
CHOMRANICE,CHOMRANICE,Chrzty,1744,2014
CHOMRANICE,CHOMRANICE,Śluby,1744,2014
CHOMRANICE,CHOMRANICE,Zgony,1744,2014
CHORZELÓW,CHORZELÓW,Chrzty,1811,2014
CHORZELÓW,CHORZELÓW,Śluby,1811,2014
CHORZELÓW,CHORZELÓW,Zgony,1811,2014
CHOTOWA,CHOTOWA,Chrzty,1945,2014
CHOTOWA,CHOTOWA,Śluby,1945,2014
CHOTOWA,CHOTOWA,Zgony,1945,2014
CHRONÓW,CHRONÓW,Chrzty,1794,2010
CHRONÓW,CHRONÓW,Śluby,1794,2010
CHRONÓW,CHRONÓW,Zgony,1794,2010
CIENIAWA,CIENIAWA,Chrzty,1981,2014
CIENIAWA,CIENIAWA,Śluby,1982,2014
CIENIAWA,CIENIAWA,Zgony,1982,2014
CIKOWICE,CIKOWICE,Chrzty,1943,2014
CIKOWICE,CIKOWICE,Śluby,1943,2014
CIKOWICE,CIKOWICE,Zgony,1943,2014
CIĘŻKOWICE,CIĘŻKOWICE,Chrzty,1801,2014
CIĘŻKOWICE,CIĘŻKOWICE,Śluby,1801,2014
CIĘŻKOWICE,CIĘŻKOWICE,Zgony,1801,2014
CZARNA k. TARNOWA,CZARNA k. TARNOWA,Chrzty,1945,2014
CZARNA k. TARNOWA,CZARNA k. TARNOWA,Śluby,1945,2014
CZARNA k. TARNOWA,CZARNA k. TARNOWA,Zgony,1945,2014
CZARNY POTOK,CZARNY POTOK,Chrzty,1789,2013
CZARNY POTOK,CZARNY POTOK,Śluby,1789,2013
CZARNY POTOK,CZARNY POTOK,Zgony,1789,2009
CZCHÓW,CZCHÓW,Chrzty,1791,2014
CZCHÓW,CZCHÓW,Śluby,1791,2014
CZCHÓW,CZCHÓW,Zgony,1791,2014
CZERMIN,CZERMIN,Chrzty,1800,2014
CZERMIN,CZERMIN,Śluby,1800,2014
CZERMIN,CZERMIN,Zgony,1800,2014
CZERMNA,CZERMNA,Chrzty,1826,2014
CZERMNA,CZERMNA,Śluby,1826,2014
CZERMNA,CZERMNA,Zgony,1826,2014
CZYRNA,CZYRNA,Chrzty,1948,2005
CZYRNA,CZYRNA,Śluby,1948,2005
CZYRNA,CZYRNA,Zgony,1948,2005
DELASTOWICE,DELASTOWICE,Chrzty,1946,2013
DELASTOWICE,DELASTOWICE,Śluby,1946,2013
DELASTOWICE,DELASTOWICE,Zgony,1946,2013
DOBRA,DOBRA,Chrzty,1786,2014
DOBRA,DOBRA,Śluby,1786,2014
DOBRA,DOBRA,Zgony,1786,2014
DOBRKÓW,DOBRKÓW,Chrzty,1813,2013
DOBRKÓW,DOBRKÓW,Śluby,1813,2013
DOBRKÓW,DOBRKÓW,Zgony,1813,2013
DOBRYNIN,DOBRYNIN,Chrzty,1966,2014
DOBRYNIN,DOBRYNIN,Śluby,1966,2014
DOBRYNIN,DOBRYNIN,Zgony,1966,2014
DOMOSŁAWICE,DOMOSŁAWICE,Chrzty,1790,2014
DOMOSŁAWICE,DOMOSŁAWICE,Śluby,1790,2014
DOMOSŁAWICE,DOMOSŁAWICE,Zgony,1790,2014
DRWINIA,DRWINIA,Chrzty,1981,2011
DRWINIA,DRWINIA,Śluby,1981,2011
DRWINIA,DRWINIA,Zgony,1981,2011
DULCZA MAŁA,DULCZA MAŁA,Chrzty,1983,2013
DULCZA MAŁA,DULCZA MAŁA,Śluby,1983,2013
DULCZA MAŁA,DULCZA MAŁA,Zgony,1983,2013
DULCZA WIELKA,DULCZA WIELKA,Chrzty,1946,2014
DULCZA WIELKA,DULCZA WIELKA,Śluby,1946,2014
DULCZA WIELKA,DULCZA WIELKA,Zgony,1946,2014
DZIERŻANINY,DZIERŻANINY,Chrzty,1996,2014
DZIERŻANINY,DZIERŻANINY,Śluby,1996,2014
DZIERŻANINY,DZIERŻANINY,Zgony,2000,2014
DĄBROWA TARNOWSKA,DĄBROWA TARNOWSKA,Chrzty,1812,2011
DĄBROWA TARNOWSKA,DĄBROWA TARNOWSKA,Śluby,1812,2007
DĄBROWA TARNOWSKA,DĄBROWA TARNOWSKA,Zgony,1812,2009
DĄBRÓWKA WISŁOCKA,DĄBRÓWKA WISŁOCKA,Chrzty,1958,1982
DĄBRÓWKA WISŁOCKA,DĄBRÓWKA WISŁOCKA,Śluby,1958,2014
DĄBRÓWKA WISŁOCKA,DĄBRÓWKA WISŁOCKA,Zgony,1958,2014
DĄBRÓWKI BREŃSKIE,DĄBRÓWKI BREŃSKIE,Chrzty,1976,2013
DĄBRÓWKI BREŃSKIE,DĄBRÓWKI BREŃSKIE,Śluby,2001,2013
DĄBRÓWKI BREŃSKIE,DĄBRÓWKI BREŃSKIE,Zgony,2001,2013
