Miejscowość,Parafia,Rodzaj Księgi,Rok od,Rok do,host
Babice,Babice,Chrzty,1890,1912,swietogen.genbaza.pl
Babice,Babice,Śluby,1892,1912,swietogen.genbaza.pl
Babice,Babice,Zgony,1892,1912,swietogen.genbaza.pl
Babice,spis ludności,Chrzty,1791,1791,swietogen.genbaza.pl
Babice,Żarki,Chrzty,1892,1900,swietogen.genbaza.pl
Baćkowice,Baćkowice,Chrzty,1890,1892,swietogen.genbaza.pl
Bałtów,Bałtów,Chrzty,1733,1748,swietogen.genbaza.pl
Bałtów,Bałtów,Chrzty,1797,1917,swietogen.genbaza.pl
Bałtów,Bałtów,Chrzty,1920,1920,swietogen.genbaza.pl
Bałtów,Bałtów,Śluby,1733,1748,swietogen.genbaza.pl
Bałtów,Bałtów,Śluby,1750,1765,swietogen.genbaza.pl
Bałtów,Bałtów,Śluby,1810,1811,swietogen.genbaza.pl
Bałtów,Bałtów,Śluby,1813,1820,swietogen.genbaza.pl
Bałtów,Bałtów,Śluby,1825,1825,swietogen.genbaza.pl
Bałtów,Bałtów,Śluby,1827,1829,swietogen.genbaza.pl
Bałtów,Bałtów,Śluby,1836,1836,swietogen.genbaza.pl
Bałtów,Bałtów,Śluby,1838,1839,swietogen.genbaza.pl
Bałtów,Bałtów,Śluby,1842,1842,swietogen.genbaza.pl
Bałtów,Bałtów,Śluby,1844,1945,swietogen.genbaza.pl
Bałtów,Bałtów,Zgony,1733,1765,swietogen.genbaza.pl
Bałtów,Bałtów,Zgony,1810,1811,swietogen.genbaza.pl
Bałtów,Bałtów,Zgony,1813,1820,swietogen.genbaza.pl
Bałtów,Bałtów,Zgony,1844,1945,swietogen.genbaza.pl
Bandrów Narodowy gm. Ustrzyki Dolne,inwentarz,Chrzty,1765,1765,swietogen.genbaza.pl
Barcice,Barcice,Chrzty,1827,1830,swietogen.genbaza.pl
Barcice,Barcice,Chrzty,1785,1827,swietogen.genbaza.pl
Barcice,Barcice,Chrzty,1829,1900,swietogen.genbaza.pl
Barcice,Barcice,Śluby,1822,1832,swietogen.genbaza.pl
Barcice,Barcice,Śluby,1834,1834,swietogen.genbaza.pl
Barcice,Barcice,Śluby,1840,1889,swietogen.genbaza.pl
Barcice,Kokuszka,Chrzty,1858,1858,swietogen.genbaza.pl
Barcice,Moszczenica,Śluby,1841,1841,swietogen.genbaza.pl
Barcice,Obłazy,Chrzty,1786,1915,swietogen.genbaza.pl
Barcice,Obłazy i Sucha Struga,Śluby,1842,1854,swietogen.genbaza.pl
Barcice,Obłazy i Sucha Struga,Śluby,1856,1856,swietogen.genbaza.pl
Barcice,Obłazy i Sucha Struga,Śluby,1877,1889,swietogen.genbaza.pl
Barcice,Przysietnica,Chrzty,1813,1827,swietogen.genbaza.pl
Barcice,Przysietnica,Chrzty,1830,1839,swietogen.genbaza.pl
Barcice,Przysietnica,Chrzty,1841,1854,swietogen.genbaza.pl
Barcice,Przysietnica,Chrzty,1856,1857,swietogen.genbaza.pl
Barcice,Przysietnica,Chrzty,1859,1889,swietogen.genbaza.pl
Barcice,Przysietnica,Śluby,1841,1846,swietogen.genbaza.pl
Barcice,Przysietnica,Śluby,1848,1854,swietogen.genbaza.pl
Barcice,Przysietnica,Śluby,1856,1857,swietogen.genbaza.pl
Barcice,Przysietnica,Śluby,1860,1873,swietogen.genbaza.pl
Barcice,Przysietnica,Śluby,1877,1901,swietogen.genbaza.pl
Barcice,Roztoka,Chrzty,1813,1814,swietogen.genbaza.pl
Barcice,Roztoka,Chrzty,1816,1827,swietogen.genbaza.pl
Barcice,Roztoka,Chrzty,1830,1839,swietogen.genbaza.pl
Barcice,Roztoka,Chrzty,1842,1854,swietogen.genbaza.pl
Barcice,Roztoka,Chrzty,1856,1857,swietogen.genbaza.pl
Barcice,Roztoka,Chrzty,1877,1889,swietogen.genbaza.pl
Barcice,Roztoka,Śluby,1843,1848,swietogen.genbaza.pl
Barcice,Roztoka,Śluby,1850,1853,swietogen.genbaza.pl
Barcice,Roztoka,Śluby,1878,1879,swietogen.genbaza.pl
Barcice,Roztoka,Śluby,1881,1882,swietogen.genbaza.pl
Barcice,Roztoka,Śluby,1884,1887,swietogen.genbaza.pl
Barcice,Rytro,Chrzty,1786,1915,swietogen.genbaza.pl
Barcice,Rytro,Śluby,1842,1857,swietogen.genbaza.pl
Barcice,Rytro,Śluby,1877,1889,swietogen.genbaza.pl
Barcice,Sucha Struga,Chrzty,1813,1827,swietogen.genbaza.pl
Barcice,Sucha Struga,Chrzty,1829,1839,swietogen.genbaza.pl
Barcice,Sucha Struga,Chrzty,1842,1908,swietogen.genbaza.pl
Barcice,Sucha Struga,Śluby,1786,1787,swietogen.genbaza.pl
Barcice,Sucha Struga,Śluby,1789,1792,swietogen.genbaza.pl
Barcice,Sucha Struga,Śluby,1794,1794,swietogen.genbaza.pl
Barcice,Sucha Struga,Śluby,1796,1798,swietogen.genbaza.pl
Barcice,Sucha Struga,Śluby,1800,1806,swietogen.genbaza.pl
Barcice,Sucha Struga,Śluby,1808,1812,swietogen.genbaza.pl
Barcice,Sucha Struga,Śluby,1814,1856,swietogen.genbaza.pl
Barcice,Sucha Struga,Śluby,1858,1900,swietogen.genbaza.pl
Barcice,Wola Krogulecka,Chrzty,1813,1827,swietogen.genbaza.pl
Barcice,Wola Krogulecka,Chrzty,1829,1839,swietogen.genbaza.pl
Barcice,Wola Krogulecka,Chrzty,1842,1854,swietogen.genbaza.pl
Barcice,Wola Krogulecka,Chrzty,1856,1882,swietogen.genbaza.pl
Barcice,Wola Krogulecka,Chrzty,1884,1889,swietogen.genbaza.pl
Barcice,Wola Krogulecka,Śluby,1843,1851,swietogen.genbaza.pl
Barcice,Wola Krogulecka,Śluby,1854,1854,swietogen.genbaza.pl
Barcice,Wola Krogulecka,Śluby,1856,1875,swietogen.genbaza.pl
Barcice,Wola Krogulecka,Śluby,1877,1901,swietogen.genbaza.pl
Bączal Dolny,Jabłonica,Chrzty,1860,1901,swietogen.genbaza.pl
