Miejscowość,Parafia,Rodzaj Księgi,Rok od,Rok do
ABRAMOWICE,św. Jakuba Apostoła,Chrzty,1764,1922
ABRAMOWICE,św. Jakuba Apostoła,Śluby,1810,1941
ABRAMOWICE,św. Jakuba Apostoła,Zgony,1787,1945
ABRAMÓW,Matki Bożej Szkaplerznej,Śluby,1925,1945
ABRAMÓW,Matki Bożej Szkaplerznej,Zgony,1925,1946
ADAMÓW,Podwyższenia Krzyża Świętego,Chrzty,1766,1909
ADAMÓW,Podwyższenia Krzyża Świętego,Śluby,1777,1909
ADAMÓW,Podwyższenia Krzyża Świętego,Zgony,1765,1909
ANNOPOL,Świętego Joachima i Świętej Anny,Chrzty,1886,1905
ANNOPOL,Świętego Joachima i Świętej Anny,Śluby,1886,1930
ANNOPOL,Świętego Joachima i Świętej Anny,Zgony,1886,1933
ANNOPOL,Annopol (mojż.),Chrzty,1826,1855
ANNOPOL,Annopol (mojż.),Śluby,1826,1855
ANNOPOL,Annopol (mojż.),Zgony,1826,1843
BABICE,pw. Narodzenia NMP,Chrzty,1811,1811
BABICE,pw. Narodzenia NMP,Śluby,1811,1811
BABICE,pw. Narodzenia NMP,Zgony,1811,1826
BABICE,Narodzenia NMP?,Chrzty,1842,1925
BABICE,Narodzenia NMP?,Śluby,1842,1930
BABICE,Narodzenia NMP?,Zgony,1924,1929
BABIN,św. Andrzeja Boboli,Zgony,1939,1945
BARANÓW,św. Jana Chrzciciela,Chrzty,1759,1926
BARANÓW,św. Jana Chrzciciela,Śluby,1810,1945
BARANÓW,św. Jana Chrzciciela,Zgony,1810,1945
BARANÓW,USC Baranów,Śluby,1946,1946
BARANÓW,USC Baranów,Zgony,1946,2024
BARANÓW,Baranów (mojż.),Chrzty,1826,1839
BARANÓW,Baranów (mojż.),Śluby,1826,1839
BATORZ,św. Stanisława,Chrzty,1692,1915
BATORZ,św. Stanisława,Śluby,1792,1934
BATORZ,św. Stanisława,Zgony,1797,1944
BEŁŻYCE,Nawrócenia św. Pawła Apostoła,Chrzty,1605,1926
BEŁŻYCE,Nawrócenia św. Pawła Apostoła,Śluby,1605,1944
BEŁŻYCE,Nawrócenia św. Pawła Apostoła,Zgony,1770,1945
BEŁŻYCE,Bełżyce (baptyści),Chrzty,1894,1894
BEREŚĆ,Narodzenia NMP,Chrzty,1874,1949
BEREŚĆ,Narodzenia NMP,Śluby,1874,1940
BEREŚĆ,Narodzenia NMP,Zgony,1874,1930
BEREŚĆ,pw. Narodzenia NMP,Chrzty,1810,1873
BEREŚĆ,pw. Narodzenia NMP,Śluby,1810,1873
BEREŚĆ,pw. Narodzenia NMP,Zgony,1810,1873
BERDYSZCZE,pw. Opieki Matki Bożej,Chrzty,1810,1874
BERDYSZCZE,pw. Opieki Matki Bożej,Śluby,1810,1874
BERDYSZCZE,pw. Opieki Matki Bożej,Zgony,1810,1874
BERDYSZCZE,pw. Opieki Matki Bożej,Chrzty,1881,1884
BERDYSZCZE,pw. Opieki Matki Bożej,Śluby,1875,1909
BERDYSZCZE,pw. Opieki Matki Bożej,Zgony,1875,1909
BEZEK,p.w. św. Dymitra Męczennika,Chrzty,1810,1859
BEZEK,p.w. św. Dymitra Męczennika,Śluby,1810,1865
BEZEK,p.w. św. Dymitra Męczennika,Zgony,1810,1830
BEZEK,pw. św. Dymitra Męczennika,Śluby,1877,1911
BEZWOLA,pw. św. Nikity,Chrzty,1814,1871
BEZWOLA,pw. św. Nikity,Śluby,1814,1871
BEZWOLA,pw. św. Nikity,Zgony,1814,1865
BEZWOLA,św. Nikity,Chrzty,1878,1885
BEZWOLA,św. Nikity,Śluby,1879,1885
BEZWOLA,św. Nikity,Zgony,1878,1885
BIAŁA (JANÓW LUBELSKI),św. Jana Chrzciciela,Chrzty,1655,1923
BIAŁA (JANÓW LUBELSKI),św. Jana Chrzciciela,Śluby,1658,1944
BIAŁA (JANÓW LUBELSKI),św. Jana Chrzciciela,Zgony,1654,1999
BIAŁA PODLASKA,pw. św. Anny,Chrzty,1755,1919
BIAŁA PODLASKA,pw. św. Anny,Śluby,1780,1918
BIAŁA PODLASKA,pw. św. Anny,Zgony,1787,1941
BIAŁA PODLASKA,"pw, Narodzenia NMP",Chrzty,1920,1923
BIAŁA PODLASKA,"pw, Narodzenia NMP",Śluby,1919,1930
BIAŁA PODLASKA,"pw, Narodzenia NMP",Zgony,1921,1930
BIAŁA PODLASKA,"św. Józefata, później Narodz. NMP",Chrzty,1792,1874
BIAŁA PODLASKA,"św. Józefata, później Narodz. NMP",Śluby,1726,1874
BIAŁA PODLASKA,"św. Józefata, później Narodz. NMP",Zgony,1782,1874
BIAŁA PODLASKA,p.w. Narodzenia NMP,Chrzty,1875,1914
BIAŁA PODLASKA,p.w. Narodzenia NMP,Śluby,1875,1914
BIAŁA PODLASKA,p.w. Narodzenia NMP,Zgony,1875,1914
BIAŁA PODLASKA,pw. śś. Cyryla i Metodego,Chrzty,1876,1914
BIAŁA PODLASKA,pw. śś. Cyryla i Metodego,Śluby,1876,1913
BIAŁA PODLASKA,pw. śś. Cyryla i Metodego,Zgony,1876,1914
BIAŁA PODLASKA,pw. Św. Trójcy,Śluby,1868,1875
BIAŁA PODLASKA,Biała Podlaska (mojż.),Śluby,1919,1920
BIAŁA PODLASKA,Biała Podlaska (mojż.),Zgony,1919,1920
BIŁGORAJ,Trójcy Świętej i Wniebowzięcia NMP,Chrzty,1716,1924
BIŁGORAJ,Trójcy Świętej i Wniebowzięcia NMP,Śluby,1717,1924
BIŁGORAJ,Trójcy Świętej i Wniebowzięcia NMP,Zgony,1798,1944
BIŁGORAJ,Biłgoraj (mojż.),Śluby,1926,1937
BIŁGORAJ,Biłgoraj (mojż.),Zgony,1926,1937
BIŁGORAJ,św. Jury,Chrzty,1826,1875
BIŁGORAJ,św. Jury,Śluby,1826,1875
BIŁGORAJ,św. Jury,Zgony,1859,1875
BIŁGORAJ,św. Jury,Chrzty,1876,1915
BIŁGORAJ,św. Jury,Śluby,1876,1914
BIŁGORAJ,św. Jury,Zgony,1876,1915
BISKUPICE,św. Stanisława,Chrzty,1680,1922
BISKUPICE,św. Stanisława,Śluby,1696,1944
BISKUPICE,św. Stanisława,Zgony,1796,1946
BISZCZA,pw. Najświętszego Serca Pana Jezusa,Chrzty,1923,1923
BISZCZA,pw. Najświętszego Serca Pana Jezusa,Śluby,1923,1943
BISZCZA,pw. Najświętszego Serca Pana Jezusa,Zgony,1923,1943
BISZCZA,Biszcza (badacze pisma),Śluby,1927,1943
BISZCZA,Biszcza (badacze pisma),Zgony,1929,1943
BISZCZA,pw. Opieki Matki Bożej,Chrzty,1871,1875
BISZCZA,pw. Opieki Matki Bożej,Śluby,1871,1875
BISZCZA,pw. Opieki Matki Bożej,Zgony,1871,1875
BISZCZA,pw. Opieki Matki Bożej,Chrzty,1876,1912
BISZCZA,pw. Opieki Matki Bożej,Śluby,1871,1912
BISZCZA,pw. Opieki Matki Bożej,Zgony,1812,1912
BLINÓW,św. Jana Chrzciciela,Chrzty,1783,1908
BLINÓW,św. Jana Chrzciciela,Śluby,1797,1894
BLINÓW,św. Jana Chrzciciela,Zgony,1797,1910
BOBROWNIKI,Nawiedzenia NMP,Chrzty,1810,1909
BOBROWNIKI,Nawiedzenia NMP,Śluby,1798,1922
BOBROWNIKI,Nawiedzenia NMP,Zgony,1810,1909
BOBROWNIKI,Bobrowniki (mojż.),Chrzty,1869,1869
BOBROWNIKI,Bobrowniki (mojż.),Śluby,1869,1869
BOBROWNIKI,Bobrowniki (mojż.),Zgony,1869,1869
BOBY,Najświętszego Serca Pana Jezusa,Chrzty,1670,1912
BOBY,Najświętszego Serca Pana Jezusa,Śluby,1721,1944
BOBY,Najświętszego Serca Pana Jezusa,Zgony,1731,1946
