Miejscowość,Parafia,Rodzaj Księgi,Rok od,Rok do
ALEKSANDROWICE,Morawica,Chrzty,1827,1889
ALEKSANDROWICE,Morawica,Śluby,1827,1889
ALEKSANDROWICE,Morawica,Zgony,1827,1889
ALWERNIA,Poręba Żegoty,Chrzty,1821,1824
ALWERNIA,Poręba Żegoty,Chrzty,1827,1840
ALWERNIA,Poręba Żegoty,Chrzty,1843,1866
ALWERNIA,Poręba Żegoty,Chrzty,1868,1881
ALWERNIA,Poręba Żegoty,Chrzty,1884,1889
ALWERNIA,Poręba Żegoty,Śluby,1821,1824
ALWERNIA,Poręba Żegoty,Śluby,1827,1840
ALWERNIA,Poręba Żegoty,Śluby,1843,1866
ALWERNIA,Poręba Żegoty,Śluby,1868,1881
ALWERNIA,Poręba Żegoty,Śluby,1884,1889
ALWERNIA,Poręba Żegoty,Zgony,1821,1824
ALWERNIA,Poręba Żegoty,Zgony,1827,1840
ALWERNIA,Poręba Żegoty,Zgony,1843,1866
ALWERNIA,Poręba Żegoty,Zgony,1868,1881
ALWERNIA,Poręba Żegoty,Zgony,1884,1889
ANDRYCHÓW,Andrychów,Chrzty,1814,1855
ANDRYCHÓW,Andrychów,Chrzty,1880,1888
ANDRYCHÓW,Andrychów,Śluby,1814,1855
ANDRYCHÓW,Andrychów,Śluby,1880,1880
ANDRYCHÓW,Andrychów,Śluby,1888,1888
ANDRYCHÓW,Andrychów,Zgony,1814,1855
ANDRYCHÓW,Andrychów,Zgony,1880,1888
BABICA AD WITANOWICE,Witanowice,Chrzty,1800,1871
BABICA AD WITANOWICE,Witanowice,Chrzty,1880,1881
BABICA AD WITANOWICE,Witanowice,Chrzty,1884,1884
BABICA AD WITANOWICE,Witanowice,Śluby,1800,1871
BABICA AD WITANOWICE,Witanowice,Śluby,1880,1881
BABICA AD WITANOWICE,Witanowice,Śluby,1884,1884
BABICA AD WITANOWICE,Witanowice,Zgony,1800,1871
BABICA AD WITANOWICE,Witanowice,Zgony,1880,1881
BABICA AD WITANOWICE,Witanowice,Zgony,1884,1884
BABINY,Wieliczka,Chrzty,1820,1847
BABINY,Wieliczka,Chrzty,1863,1873
BABINY,Wieliczka,Śluby,1820,1847
BABINY,Wieliczka,Zgony,1820,1847
BABICE AD OŚWIĘCIM,Oświęcim,Chrzty,1817,1820
BABICE AD OŚWIĘCIM,Oświęcim,Chrzty,1822,1824
BABICE AD OŚWIĘCIM,Oświęcim,Chrzty,1826,1843
BABICE AD OŚWIĘCIM,Oświęcim,Chrzty,1845,1852
BABICE AD OŚWIĘCIM,Oświęcim,Chrzty,1858,1865
BABICE AD OŚWIĘCIM,Oświęcim,Chrzty,1880,1889
BABICE AD OŚWIĘCIM,Oświęcim,Śluby,1817,1824
BABICE AD OŚWIĘCIM,Oświęcim,Śluby,1826,1843
BABICE AD OŚWIĘCIM,Oświęcim,Śluby,1845,1852
BABICE AD OŚWIĘCIM,Oświęcim,Śluby,1880,1889
BABICE AD OŚWIĘCIM,Oświęcim,Zgony,1813,1813
BABICE AD OŚWIĘCIM,Oświęcim,Zgony,1817,1819
BABICE AD OŚWIĘCIM,Oświęcim,Zgony,1821,1824
BABICE AD OŚWIĘCIM,Oświęcim,Zgony,1826,1836
BABICE AD OŚWIĘCIM,Oświęcim,Zgony,1838,1843
BABICE AD OŚWIĘCIM,Oświęcim,Zgony,1845,1852
BABICE AD OŚWIĘCIM,Oświęcim,Zgony,1856,1856
BABICE AD OŚWIĘCIM,Oświęcim,Zgony,1858,1864
BABICE AD OŚWIĘCIM,Oświęcim,Zgony,1866,1866
BABICE AD OŚWIĘCIM,Oświęcim,Zgony,1878,1889
BABICE,Babice,Chrzty,1803,1820
BABICE,Babice,Chrzty,1823,1889
BABICE,Babice,Śluby,1803,1820
BABICE,Babice,Śluby,1823,1889
BABICE,Babice,Zgony,1803,1820
BABICE,Babice,Zgony,1823,1889
BACHOWICE,Spytkowice ad Zator,Chrzty,1815,1854
BACHOWICE,Spytkowice ad Zator,Chrzty,1872,1890
BACHOWICE,Spytkowice ad Zator,Chrzty,1895,1895
BACHOWICE,Spytkowice ad Zator,Śluby,1815,1854
BACHOWICE,Spytkowice ad Zator,Śluby,1872,1890
BACHOWICE,Spytkowice ad Zator,Śluby,1895,1895
BACHOWICE,Spytkowice ad Zator,Zgony,1815,1854
BACHOWICE,Spytkowice ad Zator,Zgony,1872,1890
BACHOWICE,Spytkowice ad Zator,Zgony,1895,1895
BACZYN AD BUDZÓW,Budzów,Chrzty,1801,1805
BACZYN AD BUDZÓW,Budzów,Chrzty,1824,1824
BACZYN AD BUDZÓW,Budzów,Chrzty,1862,1889
BACZYN AD BUDZÓW,Budzów,Śluby,1801,1805
BACZYN AD BUDZÓW,Budzów,Śluby,1824,1824
BACZYN AD BUDZÓW,Budzów,Śluby,1862,1889
BACZYN AD BUDZÓW,Budzów,Zgony,1801,1805
BACZYN AD BUDZÓW,Budzów,Zgony,1824,1824
BACZYN AD BUDZÓW,Budzów,Zgony,1862,1889
BACZYN AD MORAWICA,Morawica,Chrzty,1827,1889
BACZYN AD MORAWICA,Morawica,Śluby,1827,1889
BACZYN AD MORAWICA,Morawica,Zgony,1827,1889
BALIN,Chrzanów - Kościelec,Chrzty,1829,1874
BALIN,Chrzanów - Kościelec,Śluby,1829,1874
BALIN,Chrzanów - Kościelec,Śluby,1880,1881
BALIN,Chrzanów - Kościelec,Zgony,1829,1881
BALICE,Morawica,Chrzty,1827,1889
BALICE,Morawica,Śluby,1827,1889
BALICE,Morawica,Zgony,1827,1889
BACZYN AD ZALAS,Zalas,Chrzty,1821,1883
BACZYN AD ZALAS,Zalas,Chrzty,1885,1889
BACZYN AD ZALAS,Zalas,Śluby,1821,1883
BACZYN AD ZALAS,Zalas,Śluby,1885,1889
BACZYN AD ZALAS,Zalas,Zgony,1821,1883
BACZYN AD ZALAS,Zalas,Zgony,1885,1889
BANOWICE,Droginia,Chrzty,1611,1653
BANOWICE,Droginia,Chrzty,1655,1775
BANOWICE,Droginia,Chrzty,1784,1826
BANOWICE,Droginia,Chrzty,1831,1839
BANOWICE,Droginia,Chrzty,1843,1889
BANOWICE,Droginia,Śluby,1618,1781
BANOWICE,Droginia,Śluby,1784,1826
BANOWICE,Droginia,Śluby,1831,1840
BANOWICE,Droginia,Śluby,1843,1889
BANOWICE,Droginia,Zgony,1784,1826
BANOWICE,Droginia,Zgony,1831,1839
BANOWICE,Droginia,Zgony,1841,1841
BANOWICE,Droginia,Zgony,1843,1889
BAŃSKA,Szaflary,Chrzty,1610,1680
BAŃSKA,Szaflary,Chrzty,1822,1832
BAŃSKA,Szaflary,Chrzty,1837,1844
BAŃSKA,Szaflary,Chrzty,1846,1847
BAŃSKA,Szaflary,Chrzty,1871,1889
BAŃSKA,Szaflary,Śluby,1610,1675
BAŃSKA,Szaflary,Śluby,1822,1832
BAŃSKA,Szaflary,Śluby,1837,1847
BAŃSKA,Szaflary,Śluby,1871,1889
BAŃSKA,Szaflary,Zgony,1822,1832
BAŃSKA,Szaflary,Zgony,1837,1847
BAŃSKA,Szaflary,Zgony,1871,1889
BARYCZ,Kossocice,Chrzty,1821,1844
BARYCZ,Kossocice,Chrzty,1872,1890
BARYCZ,Kossocice,Chrzty,1894,1899
BARYCZ,Kossocice,Śluby,1830,1840
BARYCZ,Kossocice,Śluby,1842,1844
BARYCZ,Kossocice,Śluby,1877,1887
BARYCZ,Kossocice,Śluby,1894,1899
BARYCZ,Kossocice,Zgony,1821,1844
BARYCZ,Kossocice,Zgony,1870,1887
BARYCZ,Kossocice,Zgony,1894,1899
BARWAŁD,Barwałd,Chrzty,1790,1809
BARWAŁD,Barwałd,Chrzty,1819,1850
BARWAŁD,Barwałd,Chrzty,1856,1889
BARWAŁD,Barwałd,Śluby,1790,1810
BARWAŁD,Barwałd,Śluby,1819,1832
BARWAŁD,Barwałd,Śluby,1834,1850
BARWAŁD,Barwałd,Śluby,1860,1889
BARWAŁD,Barwałd,Zgony,1790,1809
BARWAŁD,Barwałd,Zgony,1819,1832
BARWAŁD,Barwałd,Zgony,1834,1850
BARWAŁD,Barwałd,Zgony,1860,1889
BARWAŁD GÓRNY,Barwałd,Chrzty,1790,1809
BARWAŁD GÓRNY,Barwałd,Chrzty,1819,1850
BARWAŁD GÓRNY,Barwałd,Chrzty,1856,1889
BARWAŁD GÓRNY,Barwałd,Śluby,1790,1810
BARWAŁD GÓRNY,Barwałd,Śluby,1819,1832
BARWAŁD GÓRNY,Barwałd,Śluby,1834,1850
BARWAŁD GÓRNY,Barwałd,Śluby,1860,1889
BARWAŁD GÓRNY,Barwałd,Zgony,1790,1809
BARWAŁD GÓRNY,Barwałd,Zgony,1819,1832
BARWAŁD GÓRNY,Barwałd,Zgony,1834,1850
BARWAŁD GÓRNY,Barwałd,Zgony,1860,1889
BATOWICE,Raciborowice,Chrzty,1825,1875
BATOWICE,Raciborowice,Chrzty,1882,1889
BATOWICE,Raciborowice,Śluby,1825,1875
BATOWICE,Raciborowice,Śluby,1882,1889
BATOWICE,Raciborowice,Zgony,1825,1875
BATOWICE,Raciborowice,Zgony,1882,1889
BENCZYN,Paszkówka (Pobiedr),Chrzty,1799,1821
BENCZYN,Paszkówka (Pobiedr),Chrzty,1823,1846
BENCZYN,Paszkówka (Pobiedr),Chrzty,1848,1870
BENCZYN,Paszkówka (Pobiedr),Chrzty,1880,1889
BENCZYN,Paszkówka (Pobiedr),Śluby,1799,1821
BENCZYN,Paszkówka (Pobiedr),Śluby,1823,1846
BENCZYN,Paszkówka (Pobiedr),Śluby,1848,1870
BENCZYN,Paszkówka (Pobiedr),Śluby,1880,1889
BENCZYN,Paszkówka (Pobiedr),Zgony,1799,1821
BENCZYN,Paszkówka (Pobiedr),Zgony,1823,1829
BENCZYN,Paszkówka (Pobiedr),Zgony,1831,1838
BENCZYN,Paszkówka (Pobiedr),Zgony,1840,1846
BENCZYN,Paszkówka (Pobiedr),Zgony,1848,1870
BENCZYN,Paszkówka (Pobiedr),Zgony,1880,1889
BENCZYN,Paszkówka (Pobiedr),Chrzty,1799,1821
BENCZYN,Paszkówka (Pobiedr),Chrzty,1823,1846
BENCZYN,Paszkówka (Pobiedr),Chrzty,1848,1870
BENCZYN,Paszkówka (Pobiedr),Chrzty,1880,1889
BENCZYN,Paszkówka (Pobiedr),Śluby,1799,1821
BENCZYN,Paszkówka (Pobiedr),Śluby,1823,1846
BENCZYN,Paszkówka (Pobiedr),Śluby,1848,1870
BENCZYN,Paszkówka (Pobiedr),Śluby,1880,1889
BENCZYN,Paszkówka (Pobiedr),Zgony,1799,1821
BENCZYN,Paszkówka (Pobiedr),Zgony,1823,1829
BENCZYN,Paszkówka (Pobiedr),Zgony,1831,1838
BENCZYN,Paszkówka (Pobiedr),Zgony,1840,1846
BENCZYN,Paszkówka (Pobiedr),Zgony,1848,1870
BENCZYN,Paszkówka (Pobiedr),Zgony,1880,1889
BESTWINA,Bestwina,Chrzty,1795,1855
BESTWINA,Bestwina,Chrzty,1857,1889
BESTWINA,Bestwina,Śluby,1795,1889
BESTWINA,Bestwina,Zgony,1795,1889
BESTWINKA,Bestwina,Chrzty,1795,1855
BESTWINKA,Bestwina,Chrzty,1857,1889
BESTWINKA,Bestwina,Śluby,1795,1889
BESTWINKA,Bestwina,Zgony,1795,1889
BIAŁA AD MAKÓW,Maków Podhalański,Chrzty,1826,1858
BIAŁA AD MAKÓW,Maków Podhalański,Chrzty,1877,1878
BIAŁA AD MAKÓW,Maków Podhalański,Śluby,1826,1858
BIAŁA AD MAKÓW,Maków Podhalański,Śluby,1877,1878
BIAŁA AD MAKÓW,Maków Podhalański,Zgony,1826,1858
BIAŁA AD MAKÓW,Maków Podhalański,Zgony,1877,1878
BIAŁA,Biała,Chrzty,1810,1855
BIAŁA,Biała,Chrzty,1858,1859
BIAŁA,Biała,Chrzty,1875,1889
BIAŁA,Biała,Śluby,1811,1858
BIAŁA,Biała,Śluby,1875,1889
