Miejscowość,Parafia,Rodzaj Księgi,Rok od,Rok do
Baldenburg,Baldenburg,Zgony,1923,1923
Barcino / Bartin,Barcino / Bartin,Chrzty,1874,1884
Barcino / Bartin,Barcino / Bartin,Chrzty,1893,1912
Barcino / Bartin,Barcino / Bartin,Chrzty,1922,1925
Barcino / Bartin,Barcino / Bartin,Śluby,1875,1920
Barcino / Bartin,Barcino / Bartin,Śluby,1922,1938
Barcino / Bartin,Barcino / Bartin,Zgony,1875,1912
Barcino / Bartin,Barcino / Bartin,Zgony,1921,1937
Barcino / Bartin,Barcino / Bartin,Zgony,1941,1945
Barkowo / Barkenfelde,Barkowo / Barkenfelde,Chrzty,1900,1919
Barkowo / Barkenfelde,Barkowo / Barkenfelde,Chrzty,1922,1922
Barkowo / Barkenfelde,Barkowo / Barkenfelde,Chrzty,1924,1924
Barkowo / Barkenfelde,Barkowo / Barkenfelde,Śluby,1900,1919
Barkowo / Barkenfelde,Barkowo / Barkenfelde,Śluby,1922,1922
Barkowo / Barkenfelde,Barkowo / Barkenfelde,Śluby,1924,1924
Barkowo / Barkenfelde,Barkowo / Barkenfelde,Śluby,1928,1944
Barkowo / Barkenfelde,Barkowo / Barkenfelde,Zgony,1900,1919
Barkowo / Barkenfelde,Barkowo / Barkenfelde,Zgony,1922,1922
Barkowo / Barkenfelde,Barkowo / Barkenfelde,Zgony,1924,1924
Barkowo / Barkenfelde,Barkowo / Barkenfelde,Zgony,1928,1944
Barnowo / Barnow,Barnowo / Barnow,Chrzty,1874,1915
Barnowo / Barnow,Barnowo / Barnow,Śluby,1874,1930
Barnowo / Barnow,Barnowo / Barnow,Zgony,1874,1934
Bartel,Bartel,Śluby,1921,1935
Bartel,Bartel,Zgony,1921,1927
Bartel,Bartel,Zgony,1929,1935
Barwice / Bärwalde,Barwice / Bärwalde,Chrzty,1874,1922
Barwice / Bärwalde,Barwice / Bärwalde,Śluby,1874,1940
Barwice / Bärwalde,Barwice / Bärwalde,Zgony,1874,1941
Batorowo / Battrow,Batorowo / Battrow,Chrzty,1798,1874
Batorowo / Battrow,Batorowo / Battrow,Śluby,1798,1874
