Miejscowość,Parafia,Rodzaj Księgi,Rok od,Rok do
Babice,Babice,Chrzty,1890,1912
Babice,Babice,Śluby,1892,1912
Babice,Babice,Zgony,1892,1912
Babice,spis ludności,Chrzty,1791,1791
Babice,Żarki,Chrzty,1892,1900
Baćkowice,Baćkowice,Chrzty,1890,1892
Bałtów,Bałtów,Chrzty,1733,1748
Bałtów,Bałtów,Chrzty,1797,1917
Bałtów,Bałtów,Chrzty,1920,1920
Bałtów,Bałtów,Śluby,1733,1748
Bałtów,Bałtów,Śluby,1750,1765
Bałtów,Bałtów,Śluby,1810,1811
Bałtów,Bałtów,Śluby,1813,1820
Bałtów,Bałtów,Śluby,1825,1825
Bałtów,Bałtów,Śluby,1827,1829
Bałtów,Bałtów,Śluby,1836,1836
Bałtów,Bałtów,Śluby,1838,1839
Bałtów,Bałtów,Śluby,1842,1842
Bałtów,Bałtów,Śluby,1844,1945
Bałtów,Bałtów,Zgony,1733,1765
Bałtów,Bałtów,Zgony,1810,1811
Bałtów,Bałtów,Zgony,1813,1820
Bałtów,Bałtów,Zgony,1844,1945
Bandrów Narodowy gm. Ustrzyki Dolne,inwentarz,Chrzty,1765,1765
Barcice,Barcice,Chrzty,1827,1830
Barcice,Barcice,Chrzty,1785,1827
Barcice,Barcice,Chrzty,1829,1900
Barcice,Barcice,Śluby,1822,1832
Barcice,Barcice,Śluby,1834,1834
Barcice,Barcice,Śluby,1840,1889
Barcice,Kokuszka,Chrzty,1858,1858
Barcice,Moszczenica,Śluby,1841,1841
Barcice,Obłazy,Chrzty,1786,1915
Barcice,Obłazy i Sucha Struga,Śluby,1842,1854
Barcice,Obłazy i Sucha Struga,Śluby,1856,1856
Barcice,Obłazy i Sucha Struga,Śluby,1877,1889
Barcice,Przysietnica,Chrzty,1813,1827
Barcice,Przysietnica,Chrzty,1830,1839
Barcice,Przysietnica,Chrzty,1841,1854
Barcice,Przysietnica,Chrzty,1856,1857
Barcice,Przysietnica,Chrzty,1859,1889
Barcice,Przysietnica,Śluby,1841,1846
Barcice,Przysietnica,Śluby,1848,1854
Barcice,Przysietnica,Śluby,1856,1857
Barcice,Przysietnica,Śluby,1860,1873
Barcice,Przysietnica,Śluby,1877,1901
Barcice,Roztoka,Chrzty,1813,1814
Barcice,Roztoka,Chrzty,1816,1827
Barcice,Roztoka,Chrzty,1830,1839
Barcice,Roztoka,Chrzty,1842,1854
Barcice,Roztoka,Chrzty,1856,1857
Barcice,Roztoka,Chrzty,1877,1889
Barcice,Roztoka,Śluby,1843,1848
Barcice,Roztoka,Śluby,1850,1853
Barcice,Roztoka,Śluby,1878,1879
Barcice,Roztoka,Śluby,1881,1882
Barcice,Roztoka,Śluby,1884,1887
Barcice,Rytro,Chrzty,1786,1915
Barcice,Rytro,Śluby,1842,1857
Barcice,Rytro,Śluby,1877,1889
Barcice,Sucha Struga,Chrzty,1813,1827
Barcice,Sucha Struga,Chrzty,1829,1839
Barcice,Sucha Struga,Chrzty,1842,1908
Barcice,Sucha Struga,Śluby,1786,1787
Barcice,Sucha Struga,Śluby,1789,1792
Barcice,Sucha Struga,Śluby,1794,1794
Barcice,Sucha Struga,Śluby,1796,1798
Barcice,Sucha Struga,Śluby,1800,1806
Barcice,Sucha Struga,Śluby,1808,1812
Barcice,Sucha Struga,Śluby,1814,1856
Barcice,Sucha Struga,Śluby,1858,1900
Barcice,Wola Krogulecka,Chrzty,1813,1827
Barcice,Wola Krogulecka,Chrzty,1829,1839
Barcice,Wola Krogulecka,Chrzty,1842,1854
Barcice,Wola Krogulecka,Chrzty,1856,1882
Barcice,Wola Krogulecka,Chrzty,1884,1889
Barcice,Wola Krogulecka,Śluby,1843,1851
Barcice,Wola Krogulecka,Śluby,1854,1854
Barcice,Wola Krogulecka,Śluby,1856,1875
Barcice,Wola Krogulecka,Śluby,1877,1901
Bączal Dolny,Jabłonica,Chrzty,1860,1901
Bebelno,Bebelno,Chrzty,1685,1690
Bebelno,Bebelno,Chrzty,1692,1890
Bebelno,Bebelno,Śluby,1685,1685
Bebelno,Bebelno,Śluby,1687,1718
Bebelno,Bebelno,Śluby,1720,1724
Bebelno,Bebelno,Śluby,1728,1730
Bebelno,Bebelno,Śluby,1735,1737
Bebelno,Bebelno,Śluby,1739,1748
Bebelno,Bebelno,Śluby,1750,1750
Bebelno,Bebelno,Śluby,1752,1756
Bebelno,Bebelno,Śluby,1758,1770
Bebelno,Bebelno,Śluby,1775,1890
Bebelno,Bebelno,Zgony,1686,1690
Bebelno,Bebelno,Zgony,1693,1703
Bebelno,Bebelno,Zgony,1705,1718
Bebelno,Bebelno,Zgony,1720,1724
Bebelno,Bebelno,Zgony,1728,1730
Bebelno,Bebelno,Zgony,1736,1748
Bebelno,Bebelno,Zgony,1751,1752
Bebelno,Bebelno,Zgony,1754,1890
Bedlno,Bedlno,Chrzty,1810,1847
Bedlno,Bedlno,Chrzty,1849,1911
Bejsce,Bejsce,Chrzty,1644,1666
Bejsce,Bejsce,Chrzty,1785,1785
Bejsce,Bejsce,Chrzty,1810,1847
Bejsce,Bejsce,Chrzty,1849,1880
Bejsce,Bejsce,Śluby,1586,1666
Bejsce,Bejsce,Śluby,1746,1847
Bejsce,Bejsce,Śluby,1849,1850
Bejsce,Bejsce,Śluby,1929,1929
Bejsce,Bejsce,Zgony,1810,1812
Bejsce,Bejsce,Zgony,1815,1815
Bejsce,Bejsce,Zgony,1818,1818
Bejsce,Bejsce,Zgony,1826,1856
Beszowa,Beszowa,Chrzty,1875,1919
Beszowa,Beszowa,Śluby,1875,1920
Beszowa,Beszowa,Zgony,1875,1918
Bębło gm. Wielka Wieś,inwentarz,Chrzty,1789,1789
Będzin,Będzin,Śluby,1912,1912
Będzin,Będzin,Śluby,1916,1944
Będzin,Będzin,Zgony,1919,1925
Będzin,Będzin,Zgony,1943,1945
Będzin,spis ludności,Chrzty,1791,1791
Będzin Grodziec,Będzin Grodziec,Chrzty,1808,1817
Będzin Grodziec,Będzin Grodziec,Śluby,1808,1810
Będzin Grodziec,Będzin Grodziec,Zgony,1808,1812
Będzin Grodziec,Będzin Grodziec,Zgony,1815,1815
Będzin Grodziec,Będzin Grodziec,Zgony,1817,1817
Będzin Mojżeszowi,spis ludności,Chrzty,1791,1791
Biała,spis ludności,Chrzty,1790,1790
Białogon,Białogon,Chrzty,1918,1922
Białogon,Białogon,Śluby,1918,1922
Białogon,Białogon,Zgony,1918,1919
Biały Kościół,Biały Kościół,Chrzty,1791,1791
Biały Kościół,Biały Kościół,Śluby,1791,1791
Biały Kościół,Biały Kościół,Zgony,1791,1791
Biały Kościół,spis ludności,Chrzty,1791,1791
Biały Kościół Mojżeszowi,spis ludności,Chrzty,1791,1791
Biechów,Biechów,Chrzty,1810,1811
Biechów,Biechów,Chrzty,1813,1813
Biechów,Biechów,Chrzty,1815,1816
Biechów,Biechów,Chrzty,1818,1820
Biechów,Biechów,Chrzty,1909,1919
Biechów,Biechów,Śluby,1810,1814
Biechów,Biechów,Śluby,1816,1818
Biechów,Biechów,Śluby,1820,1820
Biechów,Biechów,Śluby,1906,1917
Biechów,Biechów,Śluby,1919,1919
Biechów,Biechów,Zgony,1811,1812
Biechów,Biechów,Zgony,1814,1816
Biechów,Biechów,Zgony,1818,1818
Biechów,Biechów,Zgony,1909,1917
Biechów,Biechów,Zgony,1919,1919
Biecz,Biecz,Śluby,1826,1870
Biecz,Biecz,Chrzty,1903,1907
Biecz,Biecz,Śluby,1826,1828
Biecz,Biecz,Śluby,1830,1837
Biecz,Biecz,Śluby,1839,1847
Biecz,Biecz,Śluby,1852,1852
Biecz,Biecz,Śluby,1855,1856
Biecz,Biecz,Śluby,1859,1863
Biecz,Biecz,Śluby,1865,1870
Biecz,Klęczany,Śluby,1826,1826
Biecz,Klęczany,Śluby,1828,1829
Biecz,Klęczany,Śluby,1831,1831
Biecz,Klęczany,Śluby,1834,1834
Biecz,Klęczany,Śluby,1836,1836
Biecz,Klęczany,Śluby,1838,1839
Biecz,Klęczany,Śluby,1843,1851
Biecz,Klęczany,Śluby,1854,1854
Biecz,Klęczany,Śluby,1856,1856
Biecz,Klęczany,Śluby,1859,1859
Biecz,Klęczany,Śluby,1861,1862
Biecz,Klęczany,Śluby,1864,1870
Biecz,Korczyna,Śluby,1827,1827
Biecz,Korczyna,Śluby,1836,1838
Biecz,Korczyna,Śluby,1840,1840
Biecz,Korczyna,Śluby,1844,1846
Biecz,Korczyna,Śluby,1848,1850
Biecz,Korczyna,Śluby,1853,1860
Biecz,Korczyna,Śluby,1863,1870
Biecz,Przedmieścia Bieckie,Śluby,1826,1826
Biecz,Przedmieścia Bieckie,Śluby,1830,1836
Biecz,Przedmieścia Bieckie,Śluby,1839,1845
Biecz,Przedmieścia Bieckie,Śluby,1847,1852
Biecz,Przedmieścia Bieckie,Śluby,1854,1857
Biecz,Przedmieścia Bieckie,Śluby,1859,1862
Biecz,Przedmieścia Bieckie,Śluby,1865,1870
Biecz,Strzeszyn,Śluby,1826,1827
Biecz,Strzeszyn,Śluby,1830,1831
Biecz,Strzeszyn,Śluby,1834,1852
Biecz,Strzeszyn,Śluby,1854,1856
Biecz,Strzeszyn,Śluby,1859,1870
Biecz,Załawie,Śluby,1829,1829
Biecz,Załawie,Śluby,1833,1833
Biecz,Załawie,Śluby,1850,1850
Biecz,Załawie,Śluby,1854,1861
Biecz,Załawie,Śluby,1864,1864
Bielany,Bielany,Chrzty,1764,1764
Bieliny gm. Ulanów,Bieliny gm. Ulanów,Chrzty,1890,1919
Bieliny gm. Ulanów,Bieliny gm. Ulanów,Śluby,1890,1914
Bieliny gm. Ulanów,Bieliny gm. Ulanów,Śluby,1916,1940
Bieliny gm. Ulanów,Bieliny gm. Ulanów,Zgony,1890,1945
Bieliny Kapitulne,Bieliny Kapitulne,Chrzty,1637,1642
Bieliny Kapitulne,Bieliny Kapitulne,Chrzty,1646,1707
Bieliny Kapitulne,Bieliny Kapitulne,Chrzty,1714,1742
Bieliny Kapitulne,Bieliny Kapitulne,Chrzty,1767,1840
Bieliny Kapitulne,Bieliny Kapitulne,Chrzty,1851,1923
Bieliny Kapitulne,Bieliny Kapitulne,Śluby,1637,1707
Bieliny Kapitulne,Bieliny Kapitulne,Śluby,1715,1840
Bieliny Kapitulne,Bieliny Kapitulne,Śluby,1851,1923
Bieliny Kapitulne,Bieliny Kapitulne,Zgony,1797,1823
Bieliny Kapitulne,Bieliny Kapitulne,Zgony,1825,1840
Bieliny Kapitulne,Bieliny Kapitulne,Zgony,1851,1893
Bieliny Kapitulne,Bieliny Kapitulne,Zgony,1895,1923
Bieliny Kapitulne,Huta Nowa - inwentarz,Chrzty,1781,1781
Bieliny Kapitulne,Huta Stara - inwentarz,Chrzty,1781,1781
Bieńkówka,Bieńkówka,Śluby,1801,1811
Bieńkówka,Jachówka,Śluby,1801,1811
Bieździedza,Bieździedza,Zgony,1854,1910
Biórków Wielki,Biórków Wielki,Chrzty,1797,1810
Biórków Wielki,Biórków Wielki,Chrzty,1837,1837
Biórków Wielki,Biórków Wielki,Chrzty,1851,1851
Biórków Wielki,Biórków Wielki,Chrzty,1871,1909
Biórków Wielki,Biórków Wielki,Chrzty,1914,1918
